Doping,Doping concentration,Al_thick,%Al,Ion (mA/mm),GMmax (mS/mm),Vth(V)
-0.6972414,1.4884295,0.51256835,0.5147029,414.8974,96.00354,-7.643509
-1.0893219,1.1557536,-0.9450898,1.4321591,415.51825,106.628845,-5.3768177
0.9408671,-0.574,0.32613173,0.571942,331.3031,105.345955,-3.7200518
1.0405558,2.532959,-1.1388241,-0.7298981,101.579636,91.85474,-1.5213459
0.88397086,-0.5285034,-0.6722239,0.1547557,190.16866,102.69256,-2.3860035
-0.8107779,-0.6644299,0.7170323,0.43093538,282.78006,87.17465,-4.171554
0.9054972,0.52399254,-0.63579786,1.2051063,360.05017,124.28614,-3.5461273
0.8681938,-0.603846,-0.60177267,-0.810668,95.8051,82.83163,-1.5708525
-0.9102579,-0.57918096,0.7154881,0.8403444,318.20477,87.98207,-4.915898
-1.3568068,1.5809464,-1.3745776,0.22244354,288.29385,91.3222,-4.1537924
-0.8896662,-0.118367076,0.8231325,0.94584167,363.81458,90.17074,-6.119375
0.89525765,-0.5997038,0.79252714,-1.1104339,119.49821,70.881325,-2.0961545
-0.8636131,1.6592047,0.15960774,1.3410625,468.00848,105.861565,-7.857685
0.8328832,0.32959348,-0.6664352,-0.039747998,182.68362,101.63955,-2.35479
-0.9557862,2.278284,-0.7306844,-0.681612,317.52533,86.85964,-5.194231
0.95211816,2.0510309,0.6266631,-1.3053539,158.3844,73.62113,-2.4807792
0.8887213,-0.7928726,0.009218551,0.5805414,300.69452,104.888535,-3.4481015
0.84501004,-0.6530177,-0.51482433,0.118731216,199.68909,99.98713,-2.5543885
0.8996357,2.2491505,1.3499802,-0.8496467,257.38306,80.61273,-3.599672
-0.8656601,-0.75018114,1.1416812,-0.6279494,174.6371,78.53198,-2.9131768
0.12919585,-0.30557996,0.6760135,0.9537984,370.29614,107.37135,-4.9838376
0.94826925,0.2499808,-1.3568424,0.79631495,221.64719,121.4445,-2.2940688
-0.8203205,0.9432236,0.8756845,1.3747659,443.58466,98.92313,-7.9642816
-0.89402586,0.46321332,0.99260247,-0.6911602,252.2757,68.86056,-5.47211
-0.89226806,-0.13777873,-0.41057828,1.1643437,327.28613,96.835945,-4.558868
-0.8356272,-0.31012255,0.23472783,0.013365075,231.48384,80.51109,-3.7611198
0.9515948,2.3033009,0.104885615,-0.8455643,183.21786,84.391426,-2.5187528
